n,surface,freq,harmony,final_class,reason
206,жабылған,136,back,nasal,pure-cyrillic-short-high-freq
208,ғдың,135,back,nasal,pure-cyrillic-short-high-freq
209,путин,134,neutral (only и/у/ю — needs context),nasal,pure-cyrillic-short-high-freq
210,кмм,133,unknown (no vowels),nasal,pure-cyrillic-short-high-freq
211,область,133,back,voiced_consonant,pure-cyrillic-short-high-freq
212,қхр,133,unknown (no vowels),liquid,pure-cyrillic-short-high-freq
213,академигі,132,mixed,vowel,pure-cyrillic-short-high-freq
214,тер,132,front,liquid,pure-cyrillic-short-high-freq
215,қысы,132,back,vowel,pure-cyrillic-short-high-freq
217,бразилия,130,back,unknown,pure-cyrillic-short-high-freq
218,жөнінен,129,front,nasal,pure-cyrillic-short-high-freq
219,ксі,129,front,vowel,pure-cyrillic-short-high-freq
220,сайланады,128,back,vowel,pure-cyrillic-short-high-freq
222,аудит,126,back,voiceless_consonant,pure-cyrillic-short-high-freq
223,моделі,126,mixed,vowel,pure-cyrillic-short-high-freq
224,орнатылды,126,back,vowel,pure-cyrillic-short-high-freq
225,архив,125,back,voiced_consonant,pure-cyrillic-short-high-freq
226,османлы,125,back,vowel,pure-cyrillic-short-high-freq
227,кандидаты,124,back,vowel,pure-cyrillic-short-high-freq
228,оғыз,123,back,voiced_consonant,pure-cyrillic-short-high-freq
229,армия,122,back,unknown,pure-cyrillic-short-high-freq
231,музей,122,front,glide,pure-cyrillic-short-high-freq
232,оқи,121,back,vowel,pure-cyrillic-short-high-freq
233,еврей,120,front,glide,pure-cyrillic-short-high-freq
234,жауға,120,back,vowel,pure-cyrillic-short-high-freq
236,ахметов,119,mixed,voiced_consonant,pure-cyrillic-short-high-freq
237,нарығы,119,back,vowel,pure-cyrillic-short-high-freq
239,абзал,118,back,liquid,pure-cyrillic-short-high-freq
241,тағды,118,back,vowel,pure-cyrillic-short-high-freq
242,ордені,117,mixed,vowel,pure-cyrillic-short-high-freq
243,орденімен,117,mixed,nasal,pure-cyrillic-short-high-freq
244,абсолют,116,back,voiceless_consonant,pure-cyrillic-short-high-freq
245,кредит,115,front,voiceless_consonant,pure-cyrillic-short-high-freq
246,ктк,115,unknown (no vowels),voiceless_consonant,pure-cyrillic-short-high-freq
247,орнатуға,115,back,vowel,pure-cyrillic-short-high-freq
249,натурал,114,back,liquid,pure-cyrillic-short-high-freq
250,оқиғаның,113,back,nasal,pure-cyrillic-short-high-freq
251,сипат,113,back,voiceless_consonant,pure-cyrillic-short-high-freq
253,днқ,112,unknown (no vowels),voiceless_consonant,pure-cyrillic-short-high-freq
254,орнатты,112,back,vowel,pure-cyrillic-short-high-freq
256,себепші,110,front,vowel,pure-cyrillic-short-high-freq
257,сқа,110,back,vowel,pure-cyrillic-short-high-freq
258,сайрам,109,back,nasal,pure-cyrillic-short-high-freq
259,лондон,108,back,nasal,pure-cyrillic-short-high-freq
261,чемпионаты,106,mixed,vowel,pure-cyrillic-short-high-freq
262,ардагерлер,105,mixed,liquid,pure-cyrillic-short-high-freq
264,кандидат,104,back,voiceless_consonant,pure-cyrillic-short-high-freq
267,прокуроры,104,back,vowel,pure-cyrillic-short-high-freq
268,фильм,104,neutral (only и/у/ю — needs context),nasal,pure-cyrillic-short-high-freq
269,қызға,104,back,vowel,pure-cyrillic-short-high-freq
270,түсінігі,103,front,vowel,pure-cyrillic-short-high-freq
272,жоспарлап,102,back,voiceless_consonant,pure-cyrillic-short-high-freq
273,косово,102,back,vowel,pure-cyrillic-short-high-freq
274,бойын,101,back,nasal,pure-cyrillic-short-high-freq
275,жауын,101,back,nasal,pure-cyrillic-short-high-freq
276,оқиғаға,101,back,vowel,pure-cyrillic-short-high-freq
277,процесс,101,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
278,комитет,100,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
279,аппарат,99,back,voiceless_consonant,pure-cyrillic-short-high-freq
280,жоспарлары,99,back,vowel,pure-cyrillic-short-high-freq
281,нарын,99,back,nasal,pure-cyrillic-short-high-freq
282,грамм,98,back,nasal,pure-cyrillic-short-high-freq
283,форумы,98,back,vowel,pure-cyrillic-short-high-freq
286,америкада,96,mixed,vowel,pure-cyrillic-short-high-freq
287,ммге,96,front,vowel,pure-cyrillic-short-high-freq
288,программа,96,back,vowel,pure-cyrillic-short-high-freq
289,сигнал,96,back,liquid,pure-cyrillic-short-high-freq
290,жауды,95,back,vowel,pure-cyrillic-short-high-freq
291,салынатын,95,back,nasal,pure-cyrillic-short-high-freq
292,армения,94,mixed,unknown,pure-cyrillic-short-high-freq
294,жайып,94,back,voiceless_consonant,pure-cyrillic-short-high-freq
295,мырыш,94,back,voiceless_consonant,pure-cyrillic-short-high-freq
296,прокурор,94,back,liquid,pure-cyrillic-short-high-freq
297,қыры,94,back,vowel,pure-cyrillic-short-high-freq
298,ажырата,93,back,vowel,pure-cyrillic-short-high-freq
299,жоспарына,93,back,vowel,pure-cyrillic-short-high-freq
301,сонша,93,back,vowel,pure-cyrillic-short-high-freq
302,хабарлаған,93,back,nasal,pure-cyrillic-short-high-freq
303,архивтер,92,mixed,liquid,pure-cyrillic-short-high-freq
304,дсұ,92,back,vowel,pure-cyrillic-short-high-freq
305,комбинаты,92,back,vowel,pure-cyrillic-short-high-freq
306,верный,91,mixed,glide,pure-cyrillic-short-high-freq
307,джордж,91,back,voiced_consonant,pure-cyrillic-short-high-freq
308,сайлауда,91,back,vowel,pure-cyrillic-short-high-freq
310,бойжеткен,90,mixed,nasal,pure-cyrillic-short-high-freq
311,жайын,90,back,nasal,pure-cyrillic-short-high-freq
312,зымыран,90,back,nasal,pure-cyrillic-short-high-freq
313,сайлауы,90,back,vowel,pure-cyrillic-short-high-freq
314,сайлауға,90,back,vowel,pure-cyrillic-short-high-freq
315,себептен,90,front,nasal,pure-cyrillic-short-high-freq
318,ардагері,89,mixed,vowel,pure-cyrillic-short-high-freq
319,аристотель,89,mixed,voiced_consonant,pure-cyrillic-short-high-freq
320,бойынан,89,back,nasal,pure-cyrillic-short-high-freq
321,оқода,89,back,vowel,pure-cyrillic-short-high-freq
322,градусқа,88,back,vowel,pure-cyrillic-short-high-freq
323,жайы,88,back,vowel,pure-cyrillic-short-high-freq
324,квадрат,88,back,voiceless_consonant,pure-cyrillic-short-high-freq
325,көмекке,88,front,vowel,pure-cyrillic-short-high-freq
