n,surface,freq,harmony,final_class,reason
595,оркестрі,53,mixed,vowel,pure-cyrillic-short-high-freq
596,осал,53,back,liquid,pure-cyrillic-short-high-freq
597,оқиғадан,53,back,nasal,pure-cyrillic-short-high-freq
598,сахна,53,back,vowel,pure-cyrillic-short-high-freq
599,соове,53,mixed,vowel,pure-cyrillic-short-high-freq
600,стадион,53,back,nasal,pure-cyrillic-short-high-freq
601,сталин,53,back,nasal,pure-cyrillic-short-high-freq
602,түсінген,53,front,nasal,pure-cyrillic-short-high-freq
603,армияның,52,back,nasal,pure-cyrillic-short-high-freq
604,бжзқ,52,unknown (no vowels),voiceless_consonant,pure-cyrillic-short-high-freq
605,вестник,52,front,voiceless_consonant,pure-cyrillic-short-high-freq
606,жаттап,52,back,voiceless_consonant,pure-cyrillic-short-high-freq
607,жетсе,52,front,vowel,pure-cyrillic-short-high-freq
609,наразы,52,back,vowel,pure-cyrillic-short-high-freq
610,ницше,52,front,vowel,pure-cyrillic-short-high-freq
611,практикада,52,back,vowel,pure-cyrillic-short-high-freq
612,салмағын,52,back,nasal,pure-cyrillic-short-high-freq
613,сипатына,52,back,vowel,pure-cyrillic-short-high-freq
615,халал,52,back,liquid,pure-cyrillic-short-high-freq
616,өзөзіне,52,front,vowel,pure-cyrillic-short-high-freq
617,анна,51,back,vowel,pure-cyrillic-short-high-freq
618,динара,51,back,vowel,pure-cyrillic-short-high-freq
619,жайлау,51,back,vowel,pure-cyrillic-short-high-freq
622,реформалар,51,mixed,liquid,pure-cyrillic-short-high-freq
623,тиым,51,back,nasal,pure-cyrillic-short-high-freq
625,шанхай,51,back,glide,pure-cyrillic-short-high-freq
626,ансамблі,50,mixed,vowel,pure-cyrillic-short-high-freq
627,вирустар,50,back,liquid,pure-cyrillic-short-high-freq
628,гонконг,50,back,voiced_consonant,pure-cyrillic-short-high-freq
629,жайлаған,50,back,nasal,pure-cyrillic-short-high-freq
630,клиент,50,front,voiceless_consonant,pure-cyrillic-short-high-freq
631,константин,50,back,nasal,pure-cyrillic-short-high-freq
633,көмекті,50,front,vowel,pure-cyrillic-short-high-freq
634,логика,50,back,vowel,pure-cyrillic-short-high-freq
636,озды,50,back,vowel,pure-cyrillic-short-high-freq
637,округтер,50,mixed,liquid,pure-cyrillic-short-high-freq
638,оспанова,50,back,vowel,pure-cyrillic-short-high-freq
639,хабарлау,50,back,vowel,pure-cyrillic-short-high-freq
640,шаған,50,back,nasal,pure-cyrillic-short-high-freq
641,шөмекей,50,front,glide,pure-cyrillic-short-high-freq
642,қысып,50,back,voiceless_consonant,pure-cyrillic-short-high-freq
643,әлкей,50,front,glide,pure-cyrillic-short-high-freq
